system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Myron\Shifter\Shifter\
display  D   display_settings.c:486  _al_score_display_settings       [   0.03498] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03500] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03502] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03504] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03506] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03508] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03510] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03512] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03514] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03516] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03518] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03520] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03522] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03524] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03526] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03528] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03530] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03532] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03534] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03536] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03538] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03540] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03543] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03545] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03547] Score is : 593
